City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,cherskiy,68.75,161.3,-4.81,82,100,6.29,RU,1679024060
144,te anau,-45.4167,167.7167,16.36,52,67,3.29,NZ,1679024060
145,port elizabeth,-33.918,25.5701,21.72,99,0,6.71,ZA,1679024061
146,kohlu,29.8962,69.252,17.88,45,72,4.19,PK,1679024061
147,moroto,2.5345,34.6666,19.01,82,76,2.41,UG,1679024062
148,qaanaaq,77.484,-69.3632,-21.13,98,100,0.39,GL,1679024062
149,serebryansk,49.6925,83.2892,-0.41,94,100,0.14,KZ,1679024062
150,guerrero negro,27.9769,-114.0611,14.7,75,98,5.53,MX,1679024063
151,opuwo,-18.0607,13.84,19.12,40,56,0.53,NA,1679024063
152,dikson,73.5069,80.5464,-25.49,96,100,8.03,RU,1679024064
153,belmonte,-15.8631,-38.8828,23.52,83,5,2.88,BR,1679024064
154,sao geraldo do araguaia,-6.4006,-48.555,22.29,98,94,0.69,BR,1679024065
155,boende,-0.2167,20.8667,21.45,99,100,1.17,CD,1679024065
156,disna,55.568,28.1971,-3.26,94,14,1.37,BY,1679024065
157,tezu,27.9167,96.1667,29.38,25,65,1.93,IN,1679024066
158,kaitangata,-46.2817,169.8464,13.87,73,93,4.21,NZ,1679024066
159,ambilobe,-13.2,49.05,24.37,91,69,0.91,MG,1679024067
160,saint-pierre,-21.3393,55.4781,26.62,60,0,3.09,RE,1679024067
161,rawson,-43.3002,-65.1023,14.02,70,86,8.7,AR,1679023861
162,palu,-0.8917,119.8707,30.72,71,99,1.48,ID,1679024068
163,poco verde,-10.7083,-38.1833,22.18,90,24,1.01,BR,1679024068
164,shirokiy,49.758,129.523,-4.31,77,46,6.06,RU,1679024069
165,noumea,-22.2763,166.4572,28.99,99,97,3.72,NC,1679023803
166,emba,48.8264,58.1442,3.2,42,29,3.39,KZ,1679024070
167,lasa,46.6166,10.7002,2.49,60,95,0.22,IT,1679024070
168,batagay-alyta,67.8006,130.4114,-12.7,73,6,1.82,RU,1679024070
169,marataizes,-21.0433,-40.8244,22.03,90,1,3.37,BR,1679024032
170,leshukonskoye,64.8989,45.7622,-6.38,90,91,4.2,RU,1679024071
171,lorengau,-2.0226,147.2712,24.74,88,100,0.69,PG,1679024071
172,tuktoyaktuk,69.4541,-133.0374,-33.0,68,0,1.54,CA,1679024072
173,san jose,37.3394,-121.895,12.65,72,20,4.63,US,1679024026
174,distraccion,10.8969,-72.8861,23.66,85,87,1.27,CO,1679024072
175,soe,-9.8607,124.284,25.05,74,63,1.26,ID,1679024073
176,tessalit,20.1986,1.0114,22.31,11,0,3.14,ML,1679024073
177,ikauna,27.55,81.9667,28.06,29,100,3.87,IN,1679024074
178,esmeraldas,-19.7625,-44.3139,22.48,94,90,1.93,BR,1679024074
179,dzerzhinskiy,55.6286,37.8469,1.27,94,100,5.15,RU,1679024075
180,esperance,-33.8667,121.9,20.97,65,34,11.22,AU,1679024075
181,nanortalik,60.1432,-45.2371,-8.17,76,20,2.03,GL,1679024076
182,saint-augustin,51.226,-58.6502,0.1,96,100,7.53,CA,1679024076
183,hithadhoo,-0.6,73.0833,27.8,76,84,4.54,MV,1679024077
184,hoi an,15.8794,108.335,25.98,71,100,2.49,VN,1679024079
185,cayenne,4.9333,-52.3333,23.02,88,0,0.0,GF,1679023806
186,okhotsk,59.3833,143.3,-5.06,86,91,6.27,RU,1679024079
187,honningsvag,70.9821,25.9704,-4.14,74,100,6.17,NO,1679024080
188,vestmannaeyjar,63.4427,-20.2734,-1.79,55,100,2.52,IS,1679024080
189,begoro,6.3871,-0.3774,22.57,92,81,2.16,GH,1679024081
190,hirara,24.8,125.2833,25.92,69,40,8.75,JP,1679024081
191,isangel,-19.55,169.2667,28.67,70,79,4.63,VU,1679024082
192,saint george,37.1041,-113.5841,9.97,47,0,3.09,US,1679024082
193,bereda,43.2686,-7.5406,10.23,100,46,3.57,ES,1679024082
194,peniche,39.3558,-9.3811,14.5,86,1,7.49,PT,1679024083
195,komsomolskiy,40.4272,71.7189,11.4,58,3,3.09,UZ,1679024083
196,lagoa,39.05,-27.9833,14.64,80,97,7.99,PT,1679024084
197,mantua,45.1667,10.7833,5.58,78,60,0.89,IT,1679024084
198,aswan,24.0934,32.907,15.61,29,0,2.57,EG,1679024084
